company,domain,city,state,category,industry_bucket,company_email
Scientific Drilling International,scientificdrilling.com,Scott,Louisiana,Well drilling contractor,construction,
Weatherford,weatherford.com,Lake Charles,Louisiana,Drilling contractor,construction,
Precision Drilling,precisiondrilling.com,Eunice,Louisiana,Well drilling contractor,construction,
Island Operating Company,islandoperating.com,Scott,Louisiana,Oil and gas exploration service,oilgas,
JF PETROLEUM GROUP,jfpetrogroup.com,Lake Charles,Louisiana,Fuel supplier,industrial,
Venture Global LNG,ventureglobal.com,Cameron,Louisiana,Oil & natural gas company,oilgas,press@venturegloballng.com
Schlumberger,slb.com,Maurice,Louisiana,Drilling contractor,construction,
Hillcorp Energy Co,hilcorp.com,Lake Arthur,Louisiana,Oil & natural gas company,oilgas,
"Foundation Drill Shafts, Inc.",foundationdrillshafts.com,Sulphur,Louisiana,Concrete contractor,construction,
Pelican Refining Company,pelicanrefining.co,Lake Charles,Louisiana,Oil & natural gas company,oilgas,export@pelicanrefining.co
Cameron LNG,cameronlng.com,Hackberry,Louisiana,Oil & natural gas company,oilgas,press@cameronlng.com
"Medders Plumbing & Repairs, LLC",weebly.com,Lake Charles,Louisiana,Plumber,plumbing,
Martin Energy Services,talensmarine.com,Lake Charles,Louisiana,Stores and shopping,oilgas,
Abshire Roofing Inc.,abshireroofinginc.com,Rayne,Louisiana,Roofing contractor,roofing,info@abshireroofinginc.com
Roto-Rooter Plumbing & Water Cleanup,rotorooter.com,Westlake,Louisiana,Plumber,plumbing,
Williams ShrevePark Office,myworkdayjobs.com,Shreveport,Louisiana,Oil & natural gas company,oilgas,
McManus Construction,mcmanusconstruction.com,Lake Charles,Louisiana,General contractor,construction,info@mcmanusconstruction.com
Hoffpauir Concrete,hoffpauirconcrete.com,Rayne,Louisiana,Contractor,construction,
"JPD Energy, Inc.",jpdenergy.com,Shreveport,Louisiana,Oil & natural gas company,oilgas,jimdodson@jpdenergy.com
Newpark Drilling Fluids,newpark.com,Abbeville,Louisiana,Well drilling contractor,construction,
"Affordable Foundation Repair, LLC",affordablefoundationrepair.com,Abbeville,Louisiana,Construction company,construction,affordablefoundation@cox.net
"JTD Services, Inc.",jtdservicesinc.com,Scott,Louisiana,General contractor,construction,
"Camo Construction & Electric, LLC",camoelectric.com,,,Electrician,construction,
SSS Inc.,ssspaving.com,Scott,Louisiana,Paving contractor,construction,info@ssspaving.com
"Reliance Electrical Contractors,LLC",relianceelectricalcontractors.net,,,Electrician,construction,
EnSight IV Energy Partners Llc,ensightenergy.com,Shreveport,Louisiana,Oil and gas exploration service,oilgas,ownerrelations@ensightenergy.com
Concrete Floors of Lafayette,concretefloorsoflafayette.com,Rayne,Louisiana,Flooring contractor,construction,
International Snubbing Services,iss-snub.com,Arnaudville,Louisiana,Oil & natural gas company,oilgas,
Powers of Louisiana,powers-hvac.com,Lafayette,Louisiana,HVAC contractor,hvac,
Port Aggregates Inc / Scott,portaggregates.com,Scott,Louisiana,Ready mix concrete supplier,construction,
Direct Tech Drilling,directtechdrilling.com,Sulphur,Louisiana,Drilling contractor,construction,
Old World Concrete Design,oldworldconcretedesign.com,,,Concrete contractor,construction,
Meek Ivy Construction,meekivyconstruction.com,,,General contractor,construction,
Louisiana Striping and Pavement LLC,louisianastripingandpavement.com,Jennings,Louisiana,Concrete contractor,construction,info@louisianastripingandpavement.com
"ACM Development, LLC.",acmdevt.com,Lake Charles,Louisiana,General contractor,construction,
Andrus Electric,andruselectricllc.com,,,Electrician,electrical,
Reeds Maintenance & Construction,reedsmaintenance.com,,,Concrete contractor,construction,
Drilling Services of America,dsalaf.com,Carencro,Louisiana,Drilling contractor,construction,sales@dsalaf.com
"Nunez Construction of SWLA, LLC",nunezconstructionofswla.com,,,Construction company,construction,
Pinnacle Plumbing Solutions,elevateyourplumbing.com,,,Plumber,plumbing,
RLB Construction and Roofing,rlbconstruction.com,,,Roofing contractor,roofing,
"Stroud Petroleum, Inc",stroudexploration.com,Shreveport,Louisiana,Corporate campus,industrial,
Cal-Cam Electrical,calcamelectrical.com,,,Electrician,electrical,admin@calcamelectrical.com
Concrete Pro Lake Charles,concreteprolakecharles.com,,,Concrete contractor,construction,
Venco LLC Concrete Washout Systems,vencocws.com,Church Point,Louisiana,Concrete contractor,construction,richard@vencocws.com
Concrete Washout Recyclers,ogeswasteservices.com,,,Concrete contractor,construction,ogeswaste@ogeswasteservices.com
Arkel Constructors,arkelconstructors.com,Lake Charles,Louisiana,Construction company,construction,
"Southern Metal Builders,LLC",southernmetalbuilders.com,Kaplan,Louisiana,Construction company,construction,
Quality Roofing Repairs,qualityroofing.la,,,Roofing contractor,roofing,
Concrete Makeover By CTI of Lafayette,ctilafayette.com,,,Concrete contractor,construction,
Tailored Garages,tailoredgarages.com,,,Concrete contractor,construction,tyler@tailoredgarages.com
"Patriot Construction And Industrial, Llc",patriot-construction.com,Duson,Louisiana,Contractor,construction,
Quality Coatings LLC,qualitycoatingsllcla.com,,,General contractor,construction,
Lake Area Pressure Washing LLC,lakeareapressurewashing.com,Lake Charles,Louisiana,Concrete contractor,construction,
House & Hill Construction & Development,thumbtack.com,,,Construction company,construction,
"What Wood Jesus Do Carpentry, LLC",wwjdcarpentry.com,,,Concrete contractor,construction,
Breaux Petroleum,breauxpetroleum.com,Lake Charles,Louisiana,Fuel supplier,industrial,resume@breauxpetroleum.com
Lake Charles Foundation Repair,lakecharlesfoundationrepair.com,,,Concrete contractor,construction,
PERC Development LLC - Lafayette,percdevelopment.com,Lafayette,Louisiana,General contractor,construction,
Elite Property Services,epsacadiana.com,,,Excavating contractor,construction,sales@epsacadiana.com
Rise Construction,rise-construct.com,,,General contractor,construction,cody@rise-construct.com
Wilco Works,wilcoworks.com,,,Construction company,construction,
Cottage Developers,westvillagedev.com,Scott,Louisiana,General contractor,construction,hgenin@latterblum.com
Miller & Associates,millerandassoc.com,Iowa,Louisiana,General contractor,construction,office@millerandassoc.com
Lafayette Concrete Creations,lafayetteconcretecontractor.com,,,Concrete contractor,construction,
Badger Daylighting Corp,badgerinc.com,,,Excavating contractor,construction,
Lafayette Superior Construction Company,constructioncompanylafayettela.com,,,Construction company,construction,
Louisiana Surface Pros LLC,louisianasurfacepros.com,,,Concrete contractor,construction,
Laborde Land Management,labordelandmanagement.com,,,Excavating contractor,construction,inquiries@lanedigitalgroup.com
DML Electrical Service,dmlelectrical.com,,,Electrical installation service,electrical,
Rapid Electrical Solutions,rapidelectricla.com,,,Electrician,electrical,
James Andrus Construction,jamesandruscr.com,Lafayette,Louisiana,Bathroom remodeler,construction,
HS Contracting Group LLC,hscontractinggroup.com,Rayne,Louisiana,Concrete contractor,construction,
Legacy Electrical Solutions,powerbylegacy.com,,,Electrician,electrical,
A&J Superior Construction LLC,ajsuperiorconstruction.com,Lafayette,Louisiana,Construction company,construction,jeremiah@ajsuperiorconstruction.com
Babcock Electric,babcockelectricllc.com,,,Electrician,electrical,info@babcockelectric.com
B&B construction of south Louisiana LLC.,bbconstructionsla.com,,,Home builder,construction,
"Down Line Electric, LLC",downlineelectric.com,,,Electrician,electrical,philprovost@downlineelectric.com
"Next Gen Electric, LLC",nextgenelectricla.com,,,Electrician,electrical,joe@lanextgenelectric.com
Earth Moving Solutions LLC,emsdirt.com,,,Excavating contractor,construction,
Garrison IE Group,garrisonintegrity.com,Westlake,Louisiana,Electrical installation service,electrical,
Triton Construction,tritonconstruct.com,Lafayette,Louisiana,Contractor,construction,info@tritonconstruct.com
Queenan Dirt Contracting LLC,queenandirt.com,,,Excavating contractor,construction,
Hartmann Building Specs Ltd,hbsltd.net,Sulphur,Louisiana,Construction company,construction,
Gulf Coast Land Management,gulfcoastlm.com,,,Excavating contractor,construction,todd.kojis@gulfcoastlm.com
Elf electric and controls,elfelectric.com,,,Electrician,electrical,
Calcasieu Construction LLC,calcasieuconstruction.com,,,Construction company,construction,
eMax Metal Roofing,emaxroofing.com,,,Roofing contractor,roofing,info@emaxroofing.com
MHC Datacomm,mhcdce.com,Lake Charles,Louisiana,Utility contractor,construction,
Prestige Roofing and Construction,prestigeroofingla.com,,,Roofing contractor,roofing,
"Crane energy,llc",crane.energy,Shreveport,Louisiana,Association / Organization,equipment,info@crane.energy
"GoGEN Services, Inc.",generacdealers.com,Sulphur,Louisiana,Electrician,electrical,stevengombas@igogen.com
"Solis Builders of Louisiana, LLC",solisbuilders.com,Carencro,Louisiana,Home builder,industrial,rodney@solisbuilders.com
Emerge Construction Group,emergebuilds.com,,,General contractor,construction,estimates@emergebuilds.com
Monarch Electric LLC,monarchelectricllc.com,,,Electrician,electrical,john.guillory@monarchelectricllc.com
"Sartin, LLC",sartin1.com,Lafayette,Louisiana,General contractor,construction,
Rolloff Rentals & Services,rolloffrentalsandservices.com,,,Excavating contractor,construction,
Ardent Services Llc,ardent.us,Lafayette,Louisiana,Electrical supply store,electrical,
Blancos Concrete Solutions,blancosconcretesolutions.com,,,Construction company,construction,
C J Tech Services LLC,cjtechservices.net,Lake Charles,Louisiana,Electrician,electrical,joni@cjtechservices.net
Joseph's Electrical Center Inc,josephselectricalcenter.com,Lake Charles,Louisiana,Lighting store,electrical,
Shannon Smith Construction LLC,ssconstruct.net,Lake Charles,Louisiana,Contractor,construction,office@ssconstruct.net
Idim Construction LLC,idimconstruction.com,Lafayette,Louisiana,General contractor,construction,
C'est Bon Roofing,cestbonroofing.com,,,Roofing contractor,roofing,
Maricle Electric,maricleelectric.com,,,Electrical installation service,electrical,
All Decked Out (ADO Construction LLC),deckthis.com,Scott,Louisiana,Construction company,construction,
Sibley Construction & Roofing Company of Lafayette,sibleyconstruction.com,,,Roofing contractor,roofing,info@sibleyconstruction.com
Concrete Works LLC,conkreteworkz.com,,,Concrete contractor,construction,info@conkreteworkz.com
EvCo Development,evcosolutions.com,Carencro,Louisiana,Construction company,construction,paul@evcosolutions.com
Westmark Construction,westmarkconstructionco.com,Lafayette,Louisiana,Contractor,construction,
"SWLA Constructors & Development, LLC",swlaconstructors.com,Sulphur,Louisiana,Custom home builder,industrial,designteam@swlaconstructors.com
National Electric Motor & Supply,nemsco.com,Sulphur,Louisiana,Electrician,electrical,david@nemsco.com
Guinn Construction LLC,guinnconstructionllc.com,Jennings,Louisiana,General contractor,construction,
J Paul Roofing & Construction,jpaulroofing.com,,,Roofing contractor,roofing,service@jpaulcs.com
STRUCTURAL,structural.net,Sulphur,Louisiana,Concrete contractor,construction,
Five-S Group,fsgrp.com,Lake Charles,Louisiana,Construction company,construction,info@fsgrp.com
Centerline Foundation Repair,centerlinefoundation.com,Lafayette,Louisiana,Construction company,construction,
"Dynamic Electric, L.L.C",dynamicelectric7.wixsite.com,,,Electrician,electrical,
Heron Construction,heronconstruction.com,Lake Charles,Louisiana,Contractor,construction,sales@heronconstruction.com
Abbeville Electric Supply Inc,abbevilleelectric.com,Abbeville,Louisiana,Electrical supply store,electrical,
Dohmann Electric LLC,dohmannelectric.com,Church Point,Louisiana,Electrician,electrical,
"Century Group, Inc.",centurygrp.com,Sulphur,Louisiana,Concrete contractor,construction,
Palmer Petroleum Inc,palmerpetro.com,Shreveport,Louisiana,Oil and gas exploration service,oilgas,lspeir@palmerpetro.com
Patch Perfect Drywall & Painting,patchperfectdrywall.com,,,Construction company,construction,%20hello@patchperfectdrywall.com
Lake Charles Electrical Jatc,lcjatc.org,Lake Charles,Louisiana,Apprenticeship center,electrical,
Platinum plumbing repair llc,platinum-plumbing-repair-llc.com,,,Plumber,plumbing,
TurnPoint Construction LLC,turnpointconstruction.com,,,Construction company,construction,
"Roof Maxx of Baton Rouge, LA",aroofrestore.com,,,Roofing contractor,roofing,
"Dunham Price Concrete Products, LLC",dunhamprice.com,Vinton,Louisiana,Concrete contractor,construction,cwhatley@dunhamprice.com
Venable Roofing,venableroofing.com,,,Roofing contractor,roofing,
Sklar Exploration,sklarexploration.com,Shreveport,Louisiana,Gas company,oilgas,info@sklarexploration.com
"Magnon Electric, Inc",magnonelectric.com,Scott,Louisiana,Electrician,electrical,jason@magnonelectric.com
Pel State Oil Services,pelstate.com,Shreveport,Louisiana,Diesel fuel supplier,oilgas,
USA Roofing | Roofing Company In Lafayette,usaroofingla.com,,,Roofing contractor,roofing,toby@usaroofingla.com
Seth Priola Construction,priola.com,Lake Charles,Louisiana,Contractor,construction,info@priola.com
Tucker & Co. Construction LLC,tuckercontracting.net,,,Roofing contractor,roofing,admin@tuckercontracting.net
Bernard's Home Improvement LLC,bernardshomeimprovements.com,Carencro,Louisiana,Concrete contractor,construction,
Lake Charles Roofing Pros,lakecharlesroofingpros.com,,,Roofing contractor,roofing,hello@lakecharlesroofingpros.com
Petrali Roofing Louisiana,petraliroofing.com,,,Roofing contractor,roofing,
Scott's Seamless Gutters,scottsseamlessgutters1.com,Lafayette,Louisiana,Roofing contractor,roofing,//www.google.com/maps/place/scott's+seamless+gutters/@30.2202401
Cornerstone Excavation LLC,cornerstoneexcavationllc.org,,,Earth works company,construction,
Jim Olivier's Home Improvement,jimolivier.com,Duson,Louisiana,Roofing contractor,roofing,info@jimolivier.com
Bourque's Quality Construction,bourquesqualityconstruction.com,Maurice,Louisiana,Construction company,construction,
"HD Truck & Tractor, LLC",hdcivil.com,Lake Charles,Louisiana,Road construction company,construction,
R & H Quality Refractory Services,rhquality.com,Westlake,Louisiana,Manufacturer,oilgas,info@rhquality.com
"Canary, LLC",canaryusa.com,Shreveport,Louisiana,Oilfield,oilgas,
Acadiana Repair Service,acadianarepairservice.com,,,HVAC contractor,hvac,
Central Air Conditioning Co INC,central-ac.com,Lafayette,Louisiana,Heating equipment supplier,hvac,
Trinitas All Electric,trinitaselectric.com,,,Electrician,electrical,service@trinitaselectric.com
R E Heidt Construction Co,reheidt.com,Westlake,Louisiana,Asphalt contractor,construction,bkojis@reheidt.com
