company,domain,city,state,category,company_email
WPS Industries,wpsindustries.com,West Monroe,Louisiana,Industrial equipment supplier,sales@national-compressor.com
Southern Metal Works,southernmetalworksllc.com,Eunice,Louisiana,Metal fabricator,
Scott Powerline & Utility Equipment,scottpowerline.com,Monroe,Louisiana,Industrial equipment supplier,
"Dixie Weld Fab, Inc.",dixieweldfab.net,Belcher,Louisiana,Metal fabricator,matthew.newberry@dixieweldfab.net
Bell Machine Co Inc,bellmachine.com,Shreveport,Louisiana,Machine shop,bellmachine@bellmachine.com
Southern States Equipment,ssequips.com,Shreveport,Louisiana,Equipment supplier,hpowell@ssequips.com
Zone Industries,zoneindustries.com,Bossier City,Louisiana,Machine shop,sales@zoneindustries.com
"Nix Sheet Metal, Inc.",nixsheetmetal.com,Shreveport,Louisiana,Metal fabricator,
Quality Sheet Metal Fab Inc,qualitysheetmetalfab.com,Monroe,Louisiana,Sheet metal contractor,joe@qualitysheetmetalfab.com
Ternium USA Inc,ternium.com,Shreveport,Louisiana,Steel fabricator,
H. Brown Machine Shop Inc,hbrown.com,Eunice,Louisiana,Machine shop,information@hbrown.com
Security Metal Roofing,securitymetalroofing.com,Alexandria,Louisiana,Metal fabricator,sales@securitymetalroofing.com
Steel Forgings,steelforgings.com,Shreveport,Louisiana,Pipe supplier,
XYZ Systems LLC,xyz-systems.com,West Monroe,Louisiana,Machine shop,
NEFCO West Monroe,gonefco.com,West Monroe,Louisiana,Industrial equipment supplier,
Tri-State Industrial Supply,tsisupply.com,Shreveport,Louisiana,Industrial equipment supplier,
Valley Grinding & Manufacturing,valleygrinding.com,Shreveport,Louisiana,Tool & die shop,sales@valleygrinding.com
"McElroy Metal Service Center - Alexandria, LA",mcelroymetal.com,Alexandria,Louisiana,Metal fabricator,mcelroyar@mcelroymetal.com
Nelson Equipment Co Inc,nelsonequipment.com,Shreveport,Louisiana,Material handling equipment supplier,mnelson@nelsonequipment.com
Sharp Industries,sharp-ind.com,Shreveport,Louisiana,Industrial equipment supplier,sales.sharp@sharp-ind.com
Lexicon - Steel Fabricators of Monroe,lexicon-inc.com,Monroe,Louisiana,Steel fabricator,lexiconinfo@lexicon-inc.com
Neighbors Cookies,neighborscookies.com,West Monroe,Louisiana,Food manufacturer,customerservice@neighborscookies.com
"J & J Industrial Supply and Fasteners, LLC",jandjindustrialsupply.com,Shreveport,Louisiana,Pump supplier,mr@jandjindustrialsupply.com
Mid South Metals LLC,midsouthmetals.com,Shreveport,Louisiana,Steel fabricator,info@midsouthmetals.com
Foster Farms,fosterfarms.com,Farmerville,Louisiana,Food manufacturer,
Raytech Industries Inc,raytechind.com,Bossier City,Louisiana,Plastic fabrication company,
Watson Machine Works LLC,wmwla.com,Bossier City,Louisiana,Machine shop,
Ouachita Machine Works,omwinc.com,West Monroe,Louisiana,Machine shop,adminpa@omwinc.com
Monroe Spring & Brake Inc,jany.io,Monroe,Louisiana,Auto machine shop,
Halliburton,halliburton.com,Minden,Louisiana,Manufacturer,investors@halliburton.com
Savant Manufacturing Inc,savantmfg.com,Kinder,Louisiana,Machine shop,kevin@savantmfg.com
Impact Machine LA,impactcncmachine.com,West Monroe,Louisiana,Machining manufacturer,
Manufacturers Advantage LLC,mfgadv.com,Bossier City,Louisiana,Distribution service,
B&D Industrial - West Monroe,bdindustrial.com,West Monroe,Louisiana,Industrial equipment supplier,
Applied Industrial Technologies,applied.com,Shreveport,Louisiana,Industrial equipment supplier,
Angel Safety Supply,angelsafetysupply.com,Minden,Louisiana,Safety equipment supplier,
"Custom Fab & Welding, LLC",customfabandweld.com,Haughton,Louisiana,Welder,jeremy@customfabandweld.com
Eason Manufacturing,easonbuildings.com,West Monroe,Louisiana,Portable building manufacturer,
neatheryautoservices,neatheryautoservices.com,Shreveport,Louisiana,Auto machine shop,
Union Industrial Services,unionindustrialservices.com,Farmerville,Louisiana,Welder,
Sabre Industries,sabreindustries.com,Bossier City,Louisiana,Manufacturer,
Alpha Welding & Fabrication Inc.,alphaweldinginc.com,Shreveport,Louisiana,Steel fabricator,
Rogers Manufacturing Corporation,rogersmfg.com,West Monroe,Louisiana,Truss manufacturer,info@rogersmfg.com
"Hawkeye Sheet Metal, LLC",hawkeyesheetmetalllc.com,Shreveport,Louisiana,Metal fabricator,
"Troutman Industries, LLC",troutmanindustries.com,Bossier City,Louisiana,Manufacturer,
Ty Fluids,tyfluids.com,Ville Platte,Louisiana,Oilfield,
"Glaz-Tech Industries, Inc",glaztech.com,Shreveport,Louisiana,Glass manufacturer,info@glaztech.com
Etheredge Industrial Services,eecmotor.com,Shreveport,Louisiana,Industrial equipment supplier,
Southern Components Inc,socomp.com,Shreveport,Louisiana,Truss manufacturer,
Benteler Steel/Tube,benteler.com,Shreveport,Louisiana,Manufacturer,
Frosty Factory of America Inc,frostyfactory.com,Ruston,Louisiana,Manufacturer,
SJ Manufacturing,sjmanufacturing.us,West Monroe,Louisiana,Metal fabricator,
"Hicks Manufacturing, LLC.",hickstrailers.com,Minden,Louisiana,Trailer manufacturer,customerservice@hickstrailers.com
MetalCraft Manufacturing,metcmfg.com,Shreveport,Louisiana,Machine shop,
KRC Custom Manufacturing Inc.,krccustommanufacturing.com,Homer,Louisiana,Plastic fabrication company,krc2@bayou.com
Stephan Manufacturing,stephanmanufacturing.com,Monroe,Louisiana,Manufacturer,
Apex Metal Works LLC,apexmetalworks.shop,Ruston,Louisiana,Metal fabricator,
RDL Machine Inc.,rdlmachine.net,Bossier City,Louisiana,Machine shop,info@rdlmachine.net
Spray Foam Equipment & Manufacturing,sprayfoammfg.com,Calhoun,Louisiana,Manufacturer,sales@bossmfg.net
Monster Timbers & Millworks,monstertimbers.com,Opelousas,Louisiana,Lumber store,charles@monstertimbers.com
Goex Industries,goexpowder.com,Minden,Louisiana,Manufacturer,
Sawmill Supplies & Equipment,sawmillsupplies.net,Sarepta,Louisiana,Manufacturer,
Comprehensive Industrial Resources,compindustrial.com,Shreveport,Louisiana,Industrial equipment supplier,
Fusion Oilfield Services,fusion-os.com,Minden,Louisiana,,
"Young's Welding and Fabrication, LLC",youngsweldfab.com,Grand Cane,Louisiana,Metal fabricator,
Carter Brothers Fabrications,cbfabs.com,Mitchell,Louisiana,Metal fabricator,terri.jimmy@cbfabs.com
Liberty Energy,libertyenergy.com,Shreveport,Louisiana,Oilfield,media@libertyenergy.com
Yellowjacket Oilfield Services,yjosllc.com,Sibley,Louisiana,Oilfield,info@yjosllc.com
Inferno Manufacturing LLC,infernomfg.com,Shreveport,Louisiana,Manufacturer,
Bell Supply Company,bellpvf.com,Frierson,Louisiana,Oilfield,
Branton Tools LLC Machine Shop,brantontools.com,Bossier City,Louisiana,Machine shop,
Concept Industrial Systems,conceptindustrialsystems.com,Ruston,Louisiana,Industrial equipment supplier,
Olde Wood Accents,oldewoodaccents.com,Washington,Louisiana,Millwork shop,
Arizona Manufacturing Company,environmentaltanks.com,Homer,Louisiana,Oil field equipment supplier,
Clement Industries Inc.,clementind.com,Sibley,Louisiana,Trailer manufacturer,sales@clementind.com
Thompson Polymer Specialists,p123.com,DeRidder,Louisiana,Manufacturer,sales@p123.com
Industrial Rubber & Gasket Co,industrialrubbergasket.com,Alexandria,Louisiana,Manufacturer,
Progressive Metal Service Inc.,progressivemetalservice.com,Bossier City,Louisiana,Metal fabricator,steve226@progressivemetalservice.com
Gulf Coast TMC,gulfcoasttmc.com,Stonewall,Louisiana,Oil field equipment supplier,sales@gulfcoasttmc.com
International Paper Mansfield Mill,internationalpaper.com,Mansfield,Louisiana,Manufacturer,
Lake Charles Manufacturing,kartersci.com,Lake Charles,Louisiana,Manufacturer,
Southern Automation Inc,sai-industrial.net,Shreveport,Louisiana,Industrial equipment supplier,trimmer@sai-industrial.net
"IES - Industrial Electronic Supply, Inc.",goies.com,Shreveport,Louisiana,Industrial equipment supplier,batonrouge@goies.com
DeepWell Energy Services,dwservices.com,Mansfield,Louisiana,Oil field equipment supplier,
Energy Completion Services LLC,energycompletion.com,Shreveport,Louisiana,Oilfield,info@ksolvgroup.com
"TDJ Oilfield Services, LLC.",tdjoilfieldservicesllc.com,Princeton,Louisiana,Oilfield,brooke@tdjoilfieldservicesllc.com
"Byles Welding & Tractor Co., Inc.",byleswt.com,Many,Louisiana,Tractor dealer,
Chemical Dynamics Inc,chemdyn.com,Ruston,Louisiana,Chemical manufacturer,info@chemdyn.com
Webster Machine Works LLC,webstermachineworks.com,Minden,Louisiana,Machine shop,allan@webstermachineworks.com
CNC Oilfield Services,cncoilfield.com,Frierson,Louisiana,Oil field equipment supplier,recruiter@cncoilfield.com
"Bulldog Oilfield Services, Inc.",bulldogoilfield.com,Frierson,Louisiana,Oilfield,briansneed@bulldogoilfield.com
Webster Door & Millwork,websterdoor.com,Dixie Inn,Louisiana,Cabinet maker,
Whitco Supply,whitcosupply.com,Shreveport,Louisiana,Industrial equipment supplier,brooks@whitcosupply.com
GR Energy Services,grenergyservices.com,Bossier City,Louisiana,Oilfield,
"RareBreed Customs, LLC",rarebreedcustoms.com,West Monroe,Louisiana,Auto machine shop,
SKY Oilfield Services,skyoilfieldservices.com,Haughton,Louisiana,Trucking company,
FWM Mechanical,fwmmech.com,Minden,Louisiana,Steel fabricator,dbotzong@fwmmech.com
"C & H Precision Machining, L.L.C.",chprecisionmachining.com,Natchitoches,Louisiana,Machine shop,
"DOC Energy Services, Inc.",docenergyservices.com,Shreveport,Louisiana,Oilfield,
S&S Industrial Supply,ssind-supply.com,Natchitoches,Louisiana,Industrial equipment supplier,stacy@ssind-supply.com
Plastic Industrial Products,tarpsgalore.com,New Orleans,Louisiana,Manufacturer,jbeau@bellsouth.net
Arkansas Industrial Machinery Rental & Service,aimcompanies.com,Bossier City,Louisiana,Industrial equipment supplier,
Timbalier Sales & Rental,timbalier.com,Houma,Louisiana,Machine shop,sales@timbalier.com
Bollinger Shipyards - Houma,bollingershipyards.com,Houma,Louisiana,Steel fabricator,
Rapid Machine and MFG LLC,rapidcnc.co,Covington,Louisiana,Manufacturer,
Toepfer's Manufacturing Co,outdoorcajuncooking.com,Eunice,Louisiana,Metal fabricator,
BWB Controls Inc,bwbcontrols.com,Houma,Louisiana,Machine shop,
Acme Machine & Welding LLC,acmecnc.com,Franklinton,Louisiana,Welder,jpierre@acmecnc.com
Industrial Machine Works Inc.,industrialmachinebr.com,Baker,Louisiana,Machine shop,sales@imwbr.com
G & D Machine Shop Inc,gdmachineshop.com,Hammond,Louisiana,Machine shop,
Clint’s Automotive & Fabrication LLC,clintsauto.wixsite.com,Glenmora,Louisiana,Auto repair shop,
Stine Home & Yard DeRidder,stinehome.com,DeRidder,Louisiana,Millwork shop,
Denham Springs Machine Shop,indicatorclamp.com,Denham Springs,Louisiana,Machine shop,denhamspringsmac@bellsouth.net
Pump Crafts Inc,pcimachine.com,Zachary,Louisiana,Machine shop,
American Gear & Machinery Rebuilders LLC,emergencygears.com,Bush,Louisiana,Industrial equipment supplier,david@americangear.llc
Industrial Pump Services Inc,industrialpumpservice.com,Clinton,Louisiana,Machine shop,
Industrial Parts Specialties,indparts.com,Port Allen,Louisiana,Machine shop,cdragovic@indparts.com
